Аэродромный;Аэр/о/дро́м/н/ый.

Сенохранилище;Сен/о/хран/и́/л/ищ/е.

Сенсационный;Сенсаци/о́нн/ый.

Сенсация;Сенса́ци/я [й/а].

Сенсибилизатор;Сенсибил/из/а́тор/.

Сенсибилизация;Сенсибил/из/а́ци/я [й/а].

Сенсибилизированный;Сенсибил/из/и́р/ова/нн/ый.

Сенсибилизировать;Сенсибил/из/и́р/ова/ть.

Сенсимонизм;Сен/симон/и́зм/.

Сенсимонист;Сен/симон/и́ст/.

Сенситограмма;Сенсит/о/гра́мм/а.

Сенситометр;Сенсит/о́/метр/.

Сенситометрический;Сенсит/о/метр/и́ческ/ий.

Сенситометрия;Сенсит/о/ме́тр/и́/я [й/а].

Сенсор;Се́нсор/.

Сенсорный;Сенсо́р/н/ый (мед.).

Сенсорный;Се́нсор/н/ый (тех.).

Сенсуализм;Сенсуал/и́зм/.

Сенсуалист;Сенсуал/и́ст/.

Сенсуалистический;Сенсуал/ист/и́ческ/ий.

Сенсуалистичный;Сенсуал/ист/и́чн/ый.

Сенсуалистка;Сенсуал/и́ст/к/а.

Сенсуальный;Сенсуа́льн/ый.

Словоизменение;Слов/о/из/мен/е́ни/е [й/э].

Словоизменительный;Слов/о/из/мен/и́/тельн/ый.

Словолитный;Слов/о/ли́/т/н/ый.

Словолитня;Слов/о/ли́/т/н/я.

Словолитчик;Слов/о/ли́/т/чик/.

Словом;Сло́в/ом, вводн. сл.

Словообразование;Слов/о/образова́/ние/ [й/э].

Словообразовательный;Слов/о/образова́/тельн/ый.

Словообразующий;Слов/о/образу́/ющ/ий.

Словоохотливость;Слов/о/о/хо́т/лив/ость/.

Словоохотливый;Слов/о/о/хо́т/лив/ый.

Словопрение;Слов/о/пре́/ни/е [й/э].

Словопроизводный;Слов/о/произво́д/н/ый.

Словопроизводственный;Слов/о/произво́д/ств/енн/ый.

Словопроизводство;Слов/о/произво́д/ств/о.

Словораздел;Слов/о/раз/де́л/.

Словосложение;Слов/о/слож/е́ни/е [й/э].

Словосочетание;Слов/о/сочет/а́/ни/е [й/э].

Словотворческий;Слов/о/тво́р/ч/еск/ий.

Словотворчество;Слов/о/тво́р/ч/еств/о.

Словоуказатель;Слов/о/указ/а́/тель/.

Словоупотребление;Слов/о/у/потребл/е́ни/е (й/э).

Словоформа;Слов/о/фо́рм/а.

Словцо;Слов/ц/о́.

Слог 1;Слог/¹ (часть слова).

Слог 2;Слог/² (стиль).

Слоговой;Слог/ов/о́й.

Слогоделение;Слог/о/дел/е́ни/е [й/э].

Сдавленный;С/да́вл/енн/ый.

Сдалека;С/далек/а́.

Сданный;С/да́/нн/ый.

Сдаточный;С/да́/т/очн/ый.

Сдатчик;С/да́/т/чик/.

Сдатчица;С/да́/т/чиц/а.

Сдать;С/да/ть.

Сдаться 1;С/да́/ть/ся¹ (в плен).

Сдаться 2;Сда́/ть/ся² (понадобиться).

Сдаться 3;Сда́/ть/ся³ (показаться).

Сдача;С/да́/ч/а.

Сдваивание;С/дв/а́/ива/ни/е [й/э].

Сдвиг;С/двиг/.

Сдвигание;С/двиг/а́/ни/е [й/э].

Сдвижение;С/движ/е́ни/е [й/э].

Сдвижка;С/дви́ж/к/а.

Сдвижной;С/движ/н/о́й.

Сдвинутый;С/дви́/ну/т/ый.

Сдвоенный;С/дв/о́/енн/ый.

Сдвойка;С/дв/о́й/к/а.

Сделанный;С/де́л/а/нн/ый.

Сделка;С/де́л/к/а.

Сопливец;Сопл/и́в/ец/.

Сопливица;Сопл/и́в/иц/а.

Сопливый;Сопл/и́в/ый.

Сопло;Сопл/о́, р. мн. сопл/ и со́пел/.

Сопловой;Сопл/ов/о́й и со́пл/ов/ый.

Соплодие;Со/пло́д/и/е [й/э].

Сопля;Сопл/я́, м. и ж. (сопляк).

Сопляк;Сопл/я́к/.

Соподчинение;Со/подчин/е́ни/е [й/э].

Соподчинительный;Со/подчин/и́/тельн/ый.

Соподчинить;Со/подчин/и́/ть.

Соподчинённый;Со/подчин/ённ/ый.

Сопоставимый;Сопостав/и́м/ый.

Сопоставительный;Сопостав/и́/тельн/ый.

Сопоставление;Сопоставл/е́ни/е [й/э].

Сопоставленный;Сопоста́вл/енн/ый.

Сопостановщик;Со/по/ста/н/о́в/щик/.

Сопочный;Со́поч/н/ый.

Соправитель;Со/прав/и́/тель/.

Сопранный;Сопра́н/н/ый.

Сопрано;Сопра́но, нескл., с. (голос) и ж. (певица).

Сопрановый;Сопра́н/ов/ый.

Сопревать;Со/пре/ва́/ть.

Сопредельный;Со/преде́ль/н/ый.

Сопрелый;Со/пре́/л/ый.

Сопреть;Со/пре́/ть.

Соприкасаться;Со/при/кас/а́/ть/ся.

Сожалеть;Сожал/е́/ть.

Сожжение;Со/жж/е́ни/е [й/э].

Сожжённый;Со/жж/ённ/ый.

Сожитель;Со/жи́/тель/.

Сожительница;Со/жи́/тель/ниц/а.

Сожительство;Со/жи́/тель/ств/о.

Сожительствовать;Со/жи́/тель/ств/ова/ть.

Сожитие;Со/жи́/ти/е [й/э].

Сожмуренный;Со/жму́р/енн/ый.

Сожранный;Со́/жр/а/нн/ый.

Сожрать;Со/жр/а́/ть.

Созастройщик;Со/за/стро́й/щик/.

Созваниваться;Со/зва́н/ива/ть/ся.

Созванный;Со́/зв/а/нн/ый.

Созвать;Со/зв/а́/ть/, со/зов/у́.

Созвездие;Со/зве́зд/и/е [й/э].

Созвониться;Со/звон/и́/ть/ся.

Созвучие;Со/зву́ч/и/е [й/э].

Созвучный;Со/зву́ч/н/ый.

Создание;Созда́/ни/е [й/э].

Созданный;Со́зда/нн/ый.

Созданьице;Созда́/нь/иц/е.

Создатель;Созда́/тель/.

Создательница;Созда́/тель/ниц/а.

Созерцание;Созерца́/ни/е [й/э].

Созерцатель;Созерца́/тель/.

Созерцательница;Созерца́/тель/ниц/а.

Самобичевание;Сам/о/бич/ева́/ни/е [й/э].

Самобичующий;Сам/о/бич/у́/ющ/ий.

Самоблокировка;Сам/о/блок/ир/о́в/к/а.

Самобранка;Сам/о/бр/а́/н/к/а.

Самобраный;Сам/о/бр/а́/н/ый: ска́терть самобра́ная.

Самобытность;Сам/о/бы́т/н/ость/.

Самобытный;Сам/о/бы́т/н/ый.

Самовар;Сам/о/ва́р/.

Самоварный;Сам/о/ва́р/н/ый.

Самоварчик;Сам/о/ва́р/чик/.

Самовластвовать;Сам/о/вла́ст/в/ова/ть.

Самовластие;Сам/о/вла́ст/и/е [й/э].

Самовластительный;Сам/о/власт/и́/тельн/ый.

Самовластный;Сам/о/вла́ст/н/ый.

Самовлюблённый;Сам/о/в/любл/ённ/ый.

Самовнушение;Сам/о/внуш/е́ни/е [й/э].

Самовозбуждение;Сам/о/воз/бужд/е́ни/е [й/э].

Самовозвеличение;Сам/о/воз/вели́ч/ени/е [й/э].

Самовозврат;Сам/о/воз/вра́т/.

Самовозгораемость;Сам/о/воз/гор/а́/ем/ость/.

Самовозгорание;Сам/о/воз/гор/а́/ни/е [й/э].

Самовозгораться;Сам/о/воз/гор/а́/ть/ся.

Самоволие;Сам/о/во́л/и/е [й/э].

Самоволка;Сам/о/во́л/к/а.

Самовольничать;Сам/о/во́ль/н/ича/ть.

Самовольный;Сам/о/во́ль/н/ый.

Самовольство;Сам/о/во́ль/ств/о.

Самовоспитание;Сам/о/воспит/а́/ни/е [й/э].

Самовоспламенение;Сам/о/вос/плам/ен/е́ни/е [й/э].

Самовосхваление;Сам/о/вос/хвал/е́ни/е [й/э].

Сволокший;С/воло́к/ш/ий.

Сволоченный;С/воло́ч/енн/ый и с/волоч/ённ/ый.

Сволочить 1;С/волоч/и́/ть¹, сов. (своло́чь).

Сволочной;Сволоч/н/о́й.

Сволочь;С/воло́чь/.

Сволочь;Сво́лочь/.

Свора;Сво́р/а.

Сворить;Сво́р/и/ть (от сво́р/а).

Сворованный;С/вор/о́ва/нн/ый.

Своровать;С/вор/ова́/ть.

Свороченный;С/воро́ч/енн/ый.

Свояк;Своя́к/.

Свояченица;Своя́ч/е/ниц/а.

Свыкаться;С/вык/а́/ть/ся.

Свыкнуться;С/вы́к/ну/ть/ся.

Свыкшийся;С/вы́к/ш/ий/ся.

Свысока;С/высок/а́.

Свычка;С/вы́ч/к/а.

Свыше;С/вы́ш/е.

Связанный;С/вя́з/а/нн/ый.

Связист;С/вяз/и́ст/.

Связистка;С/вяз/и́ст/к/а.

Связка;С/вя́з/к/а.

Связник;С/вяз/ни́к/.

Связной;С/вяз/н/о́й, -о́го (посыльный).

Слабоуспевающий;Слаб/о/успе/ва́/ющ/ий.

Слабохарактерный;Слаб/о/хара́ктер/н/ый.

Слабощелочной;Слаб/о/щелоч/н/о́й.

Слабый;Сла́б/ый.

Слава;Сла́в/а.

Славировать;С/лави́рова/ть.

Славист;Слав/и́ст/.

Славистика;Слав/и́ст/ик/а.

Славистический;Слав/ист/и́ч/еск/ий.

Славистский;Слав/и́ст/ск/ий.

Славка;Сла́в/к/а.

Славление;Сла́вл/ени/е [й/э].

Славный;Сла́в/н/ый.

Славолюбец;Слав/о/лю́б/ец/.

Славолюбивый;Слав/о/люб/и́в/ый.

Славолюбие;Слав/о/лю́б/и/е [й/э].

Славословие;Слав/о/сло́в/и/е [й/э].

Славословить;Слав/о/сло́в/и/ть.

Славянизация;Славян/из/а́ци/я [й/а].

Славянизированный;Славян/из/и́р/ова/нн/ый.

Славянизм;Славян/и́зм/.

Славянин;Славян/и́н/.

Славянка;Славя́н/к/а.

Славяновед;Славян/о/ве́д/.

Славяноведение;Славян/о/ве́д/ени/е [й/э].

Славяноведческий;Славян/о/ве́д/ческ/ий.

Сиговый;Сиг/о́в/ый.

Сиголов;Сиг/о/ло́в/.

Сиделец;Сид/е́/л/ец/.

Сиделка;Сид/е́/л/к/а.

Сидельческий;Сид/е́/ль/ч/еск/ий.

Сидение;Сид/е́ни/е [й/э] (действие).

Сиденье;Сид/е́нь/е [й/э] (место).

Сидерит;Сидер/и́т/.

Сидерический;Сидер/и́ч/еск/ий.

Сидероз;Сидер/о́з/.

Сидеролит;Сидер/о/ли́т/.

Сидеростат;Сидер/о/ста́т/.

Сидеть;Сид/е́/ть.

Сидеться;Сид/е́/ть/ся (не сиди́тся).

Сидка;Си́д/к/а.

Сидр;Сидр/.

Сидя;Си́д/я, нареч.

Сидячий;Сид/я́ч/ий.

Сидящий;Сид/я́щ/ий.

Сиена;Сие́н/а.

Сиенит;Сиен/и́т/.

Сиенитовый;Сиен/и́т/ов/ый.

Сиенский;Сие́н/ск/ий.

Сижено;Си́ж/ен/о.

Сиживать;Си́ж/ива/ть, наст. вр. не употр.

Сижок;Сиж/о́к/ (от сиг/).

Сизарь;Сиз/а́рь/.

Сизеть;Сиз/е́/ть.

Сизиф;Сизи́ф/ (жук).

Сообразно;Сообра́зн/о (чему, с чем).

Сообразность;Сообра́зн/ость/.

Сообразный;Сообра́зн/ый.

Сообразованный;Сообразо́ва/нн/ый.

Сообща;Со/общ/а́, нареч.

Сообщение;Сообщ/е́ни/е [й/э].

Сообщество;Со/о́бщ/еств/о.

Сообщительный;Сообщ/и́/тельн/ый.

Сообщник;Со/о́бщ/ник/.

Сообщница;Со/о́бщ/ниц/а.

Сообщнический;Со/о́бщ/нич/еск/ий.

Сообщничество;Со/о́бщ/нич/еств/о.

Сообщённый;Сообщ/ённ/ый.

Соопекун;Со/опек/у́н/.

Сооружение;Сооруж/е́ни/е [й/э].

Сооружённый;Сооруж/ённ/ый.

Соосный;Со/о́с/н/ый.

Соответственно;Соотве́тств/енн/о.

Соответственный;Соотве́тств/енн/ый.

Соответствие;Соотве́тств/и/е [й/э].

Соответствовать;Соотве́тств/ова/ть.

Соответствующий;Соотве́тств/у/ющ/ий.

Соответчик;Со/отве́т/чик/.

Соответчица;Со/отве́т/чиц/а.

Самообольщение;Сам/о/обо/льщ/е́ни/е [й/э].

Самооборона;Сам/о/оборо́н/а.

Самообразование;Сам/о/образова́/ни/е [й/э].

Самообразовательный;Сам/о/образова́/тельн/ый.

Самообслуживание;Сам/о/об/слу́ж/ива/ни/е [й/э].

Самообучающийся;Сам/о/об/уч/а́/ющ/ий/ся.

Самообучение;Сам/о/об/уч/е́ни/е [й/э].

Самоограничение;Сам/о/о/гранич/е́ни/е [й/э].

Самоокапывание;Сам/о/о/ка́п/ыва/ни/е [й/э].

Самоокисление;Сам/о/о/кис/л/е́ни/е [й/э].

Самоокупаемость;Сам/о/о/куп/а́/ем/ость/.

Самооплодотворение;Сам/о/о/плод/о/твор/е́ни/е [й/э].

Самоопределение;Сам/о/определ/е́ни/е [й/э].

Самоопределиться;Сам/о/определ/и́/ть/ся.

Самоопределяться;Сам/о/определ/я́/ть/ся.

Самоопрокидывающийся;Сам/о/о/про/ки́д/ыва/ющ/ий/ся.

Самоопыление;Сам/о/о/пыл/е́ни/е [й/э].

Самоопылитель;Сам/о/о/пыл/и́/тель/.

Самоопыляющийся;Сам/о/о/пыл/я́/ющ/ий/ся.

Самоорганизация;Сам/о/орган/из/а́ци/я [й/а].

Самоорганизующийся;Сам/о/орган/из/у́/ющ/ий/ся.

Самоосвобождение;Сам/о/о/свобожд/е́ни/е [й/э].

Самоостанов;Сам/о/остано́в/.

Самоотвержение;Сам/о/от/верж/е́ни/е [й/э].

Самоотверженность;Сам/о/от/ве́рж/енн/ость/.

Самоотверженный;Сам/о/от/ве́рж/енн/ый.

Самоотвод;Сам/о/от/во́д/.

Самоотдача;Сам/о/от/да́/ч/а.

Самоотравление;Сам/о/о/травл/е́ни/е [й/э].

Самоотречение;Сам/о/отреч/е́ни/е [й/э].

Свидетельство;Свиде́тель/ств/о.

Свидеться;С/ви́д/е/ть/ся.

Свилеватость;С/ви/л/ева́т/ость/.

Свилеватый;С/ви/л/ева́т/ый.

Свиль;С/ви/ль/.

Свинарка;Свин/а́р/к/а.

Свинарник;Свин/а́р/ник/.

Свинарный;Свин/а́р/н/ый.

Свинарня;Свин/а́р/н/я.

Свинарь;Свин/а́рь/.

Свинец;Свине́ц/.

Свинецорганический;Свинец/орган/и́ческ/ий.

Свинина;Свин/и́н/а.

Свинка 1;Сви́н/к/а¹ (от свинь/я́).

Свинка 2;Сви́нк/а² (болезнь).

Свинобоец;Свин/о/бо́/ец/.

Свиновод;Свин/о/во́д/.

Свиноводство;Свин/о/во́д/ств/о.

Свиноводческий;Свин/о/во́д/ческ/ий.

Свиной;Свин/о́й.

Свинокопчёности;Свин/о/копч/ён/ост/и, ед. свин/о/конч/ён/ость/.

Свиноматка;Свин/о/ма́т/к/а.

Свинопас;Свин/о/па́с/.

Свиноподобный;Свин/о/подо́б/н/ый.

Свинорой;Свин/о/ро́й/.

Свиносовхоз;Свин/о/сов/хо́з/.

Свиноферма;Свин/о/фе́рм/а.

Свинский;Сви́н/ск/ий.

Свинёнок;Свин/ёнок/.

Соотечественник;Со/оте́ч/еств/енн/ик/.

Соотечественница;Со/оте́ч/еств/енн/иц/а.

Соотечественный;Со/оте́ч/еств/енн/ый.

Соотнесение;Со/от/нес/е́ни/е [й/э].

Соотнести;Со/от/нес/ти́.

Соотнесённый;Со/от/нес/ённ/ый.

Соотносительный;Со/от/нос/и́/тельн/ый.

Соотношение;Со/от/нош/е́ни/е [й/э].

Соотнёсший;Со/от/нёс/ш/ий.

Соотчич;Со/о́тч/ич/.

Сопатка;Соп/а́т/к/а.

Сопатый;Соп/а́т/ый (к соп/е́/ть).

Сопелка;Соп/е́/л/к/а.

Сопель;Соп/е́/ль/.

Сопение;Соп/е́/ни/е [й/э].

Сопереживание;Со/пере/жи/ва́/ни/е [й/э].

Сопереживать;Со/пере/жи/ва́/ть.

Соперник;Сопе́р/ник/.

Соперница;Сопе́р/ниц/а.

Соперничать;Сопе́р/нич/а/ть.

Сопернический;Сопе́р/нич/еск/ий.

Соперничество;Сопе́р/нич/еств/о.

Соперничествовать;Сопе́р/нич/еств/ова/ть.

Сопеть;Соп/е́/ть.

Сопка;Со́пк/а.

Соплеменник;Со/плем/е́н/ник/.

Соплеменница;Со/плем/е́н/ниц/а.

Соплеменный;Со/плем/е́н/н/ый.

Сопли;Со́пл/и, ед. сопл/я́.

Свиристель;Свирист/е́/ль/.

Свиристеть;Свирист/е́/ть.

Свисать;С/вис/а́/ть.

Свислый;С/ви́с/л/ый.

Свиснуть;С/ви́с/ну/ть.

Свист;Свист/.

Свистать;Свист/а́/ть.

Свистелка;Свист/е́/л/к/а.

Свистеть;Свист/е́/ть.

Свистнуть;Сви́ст/ну/ть (от свист/е́/ть).

Свисток;Свист/о́к/.

Свистопляска;Свист/о/пля́с/к/а.

Свисточек;Свист/о́ч/ек/.

Свистулька;Свист/у́льк/а.

Свистун;Свист/у́н/.

Свистунья;Свист/у́нь/я [й/а].

Свистящий;Свист/я́щ/ий.

Свисший;С/ви́с/ш/ий.

Свита 1;Сви́т/а¹ (царская).

Свита 2;Сви́т/а² (одежда).

Свитер;Сви́тер/.

Свиток;С/ви́т/ок/.

Свитский;Сви́т/ск/ий.

Свитый;С/ви́/т/ый.

Свихнутый;С/ви́х/ну/т/ый.

Свищ;Свищ/.

Свищеватый;Свищ/ева́т/ый.

Свищевой;Свищ/ев/о́й.

Скандализованный;Скандал/из/о́ва/нн/ый.

Скандалист;Скандал/и́ст/.

Скандалистка;Скандал/и́ст/к/а.

Скандальничать;Сканда́ль/н/ича/ть.

Скандальный;Сканда́ль/н/ый.

Скандальчик;Сканда́ль/чик/.

Скандиевый;Ска́нд/и/ев/ый.

Скандий;Ска́нд/ий/.

Скандинав;Скандина́в/.

Скандинавизм;Скандинав/и́зм/.

Скандинавка;Скандина́в/к/а.

Скандинавский;Скандина́в/ск/ий.

Скандирование;Сканд/и́р/ова/ни/е [й/э].

Скандированный;Сканд/и́р/ова/нн/ый.

Скандировка;Сканд/ир/о́в/к/а.

Скандованный;Сканд/о́ва/нн/ый.

Скандовка;Сканд/о́в/к/а.

Скандовочный;Сканд/о́в/оч/н/ый.

Сканирование;Скан/и́р/ова/ни/е [й/э].

Сканировать;Скан/и́р/ова/ть.

Сканирующий;Скан/и́р/у/ющ/ий.

Сканщик;Ска́н/щик/.

Скаполит;Скапо/ли́т/.

Скаполитовый;Скапо/ли́т/ов/ый.

Скоба;Скоб/а́.

Скобарь;Скоб/а́рь/.

Скобить;Скоб/и́/ть.

Скобка 1;Ско́б/к/а¹ (от скоб/а́).

Скобка 2;Ско́бк/а² (знак препинания).

Скобленный;Ско́бл/енн/ый, прич.

Скоблёнка;Скобл/ён/к/а.

Скоблёный;Скобл/ён/ый, прил.

Скобочка 1;Ско́б/оч/к/а¹ (от ско́б/к/а¹).

Скобочка 1;Ско́б/очк/а¹ (от скоб/а́).

Скобочка 2;Ско́боч/к/а² (от ско́бк/а²).

Скобочный 1;Ско́б/очн/ый 1 (от скоб/а́).

Скобочный 2;Ско́б/оч/н/ый 2 (от ско́б/к/а¹).

Скобчатый 1;Ско́б/чат/ый 1 (от скоб/а́).

Скобчатый 2;Ско́б/ч/ат/ый 2 (от ско́б/к/а¹).

Скобяной;Скоб/ян/о́й.

Сков;С/ков/.

Скованность;С/ко́ва/нн/ость/.

Скованный;С/ко́ва/нн/ый.

Сковка;С/ко́в/к/а.

Сковной;С/ков/н/о́й.

Сковорода;Сковород/а́.

Сковородень;Ско́вород/ень/.

Сковородить;Сковород/и́/ть.

Сковородка;Сковоро́д/к/а.

Сковородник;Сковоро́д/ник/.

Сковородный;Сковоро́д/н/ый.

Сковородня;Сковоро́д/н/я.

Сортоучасток;Сорт/о/уча́сток/.

Сосальце;Сос/а́/ль/ц/е.

Сосальщик;Сос/а́/ль/щик/.

Сосание;Сос/а́/ни/е [й/э].

Сосанный;Со́с/а/нн/ый.

Сосательный;Сос/а́/тельн/ый.

Сосватанный;Со/сва́т/а/нн/ый.

Сосводничать;Со/с/во́д/н/ича/ть.

Сосед;Сосе́д/.

Соседить;Сосе́д/и/ть.

Соседка;Сосе́д/к/а.

Соседний;Сосе́д/н/ий.

Соседский;Сосе́д/ск/ий.

Соседственный;Сосе́д/ств/енн/ый.

Соседство;Сосе́д/ств/о.

Соседствовать;Сосе́д/ств/ова/ть.

Соседушка;Сосе́д/ушк/а, м. и ж.

Сосенка;Со́сен/к/а и сосён/к/а.

Сосиска;Соси́ск/а.

Сосисочная;Соси́соч/н/ая, -ой.

Сосисочный;Соси́соч/н/ый.

Соска;Со́с/к/а.

Соскакивать;Со/ска́к/ива/ть.

Соскальзывать;Со/ска́льз/ыва/ть.

Соскобленный;Со/ско́бл/енн/ый.

Солонина;Сол/он/и́н/а.

Солонинный;Сол/он/и́н/н/ый.

Солоница;Сол/он/и́ц/а.

Солонка;Сол/о́н/к/а.

Солоноватый;Сол/он/ова́т/ый.

Солонцеватый;Сол/он/ц/ева́т/ый.

Солонцовый;Сол/он/ц/о́в/ый.

Солончак;Сол/он/ча́к/.

Солончаковый;Сол/он/чак/о́в/ый.

Солтать;Со/лт/а́/ть.

Соль 1;Соль/¹ (вещество).

Соль 2;Соль², нескл., с. (нота).

Сольдо;Со́льдо, нескл., с.

Сольмизация;Соль/м/из/а́ци/я [й/а] [соль/м(и)/из/а́ци/я].

Сольный;Со́ль/н/ый.

Сольфеджио;Сольфе́джио и сольфе́джо, нескл., с.

Сольца;Соль/ц/а́.

Солянка 1;Сол/я́н/к/а¹ (растение).

Солянка 2;Сол/я́н/к/а² (суп).

Соляной;Сол/ян/о́й.

Солянокислый;Сол/ян/о/ки́с/л/ый.

Соляризация;Соляр/из/а́ци/я [й/а].

Солярий;Соля́р/ий/.

Соляриметр;Соляр/и́/метр/.

Солярка;Соля́р/к/а.

Солярный;Соля́р/н/ый.

Сом;Сом/.

Сома;Со́м/а.

Сомали;Сомали́, неизм. и нескл., м. (язык) и нескл., м. и ж. (народ).

Слабозатухающий;Слаб/о/за/тух/а́/ющ/ий*.

Слабозимостойкий;Слаб/о/зим/о/сто́й/к/ий.

Слабоизвилистый;Слаб/о/из/ви́/л/ист/ый.

Слабоинтенсивный;Слаб/о/интенси́вн/ый.

Слабоионизирующий;Слаб/о/ион/из/и́р/у/ющ/ий*.

Слабокислый;Слаб/о/ки́с/л/ый.

Слаболегированный;Слаб/о/лег/и́р/ова/нн/ый.

Слабомыслие;Слаб/о/мы́сл/и/е [й/э].

Слабонаправленный;Слаб/о/напра́вл/енн/ый.

Слабонатянутый;Слаб/о/на/тя́/ну/т/ый*.

Слабонервный;Слаб/о/не́рв/н/ый.

Слабоокатанный;Слаб/о/о/ка́т/а/нн/ый.

Слабопеременный;Слаб/о/пере/ме́н/н/ый.

Слабопересечённый;Слаб/о/пере/сеч/ённ/ый.

Слабопроницаемый;Слаб/о/про/ниц/а́/ем/ый.

Слаборадиоактивный;Слаб/о/рад/и/о/акти́в/н/ый.

Слаборастворимый;Слаб/о/раствор/и́м/ый.

Слабосвязанный;Слаб/о/с/вя́з/а/нн/ый*.

Слабосилие;Слаб/о/си́л/и/е [й/э].

Слабосильный;Слаб/о/си́ль/н/ый.

Слабослышащий;Слаб/о/слы́ш/ащ/ий, -его.

Слабосолёный;Слаб/о/сол/ён/ый*.

Слабость;Сла́б/ость/.

Слабосцементированный;Слаб/о/с/цемент/и́р/ова/нн/ый*.

Слаботоксичный;Слаб/о/токс/и́чн/ый.

Слаботочный;Слаб/о/то́ч/н/ый.

Слабоуздый;Слаб/о/у́зд/ый.

Слабоумие;Слаб/о/у́м/и/е [й/э].

Слабоумный;Слаб/о/у́м/н/ый.

Сбивалка;С/би/ва́/л/к/а.

Сбивальный;С/би/ва́/ль/н/ый.

Сбивание;С/би/ва́/ни/е [й/э].

Сбивка;С/би́/в/к/а.

Сбивной;С/би/в/н/о́й.

Сбивчивый;С/би́/в/чив/ый.

Сбитенщик;С/би́/т/ен/щик/.

Сбитень 1;С/би́/т/ень/¹ (напиток).

Сбитень 2;С/би́/т/ень/² (человек).

Сбитый;С/би́/т/ый.

Сближение;С/ближ/е́ни/е [й/э].

Сближенность;С/бли́ж/енн/ость/.

Сближенный;С/бли́ж/енн/ый.

Сблокированный;С/блок/и́р/ова/нн/ый.

Сбоина;С/бо́/ин/а.

Сбоить;С/бо/и́/ть.

Сбой;С/бой/.

Сбойка;С/бо́й/к/а.

Сбойный;С/бо́й/н/ый.

Сбоку;С/бо́к/у, нареч. (сиде́ть сбо́ку).

Сболтанный;С/бо́лт/а/нн/ый.

Сболтать;С/болт/а́/ть.

Силосохранилище;Силос/о/хран/и́/л/ищ/е.

Силушка;Си́л/ушк/а.

Силуэт;Силуэ́т/.

Силуэтный;Силуэ́т/н/ый.

Сильнеть;Силь/н/е́/ть.

Сильноветвистый;Силь/н/о/ветв/и́ст/ый.

Сильнодействующий;Силь/н/о/де́й/ств/у/ющ/ий*.

Сильнокаменистый;Силь/н/о/камен/и́ст/ый.

Сильнонапряжённый;Силь/н/о/напряж/ённ/ый*.

Сильнопересечённый;Силь/н/о/пере/сеч/ённ/ый*.

Сильносолёный;Силь/н/о/сол/ён/ый*.

Сильноточный;Силь/н/о/то́ч/н/ый.

Сильный;Си́ль/н/ый.

Сильф;Сильф/.

Сильфида;Сильф/и́д/а.

Симбиоз;Симби/о́з/.

Симбионт;Симби/о́нт/.

Символ;Си́мвол/.

Символизация;Символ/из/а́ци/я [й/а].

Символизированный;Символ/из/и́р/ова/нн/ый.

Символизм;Символ/и́зм/.

Символика;Симво́л/ик/а.

Символист;Символ/и́ст/.

Символистка;Символ/и́ст/к/а.

Символистский;Символ/и́ст/ск/ий.

Символический;Символ/и́ческ/ий.

Символичный;Символ/и́чн/ый.

Симметрический;Симметр/и́ческ/ий.

Сбыточный;С/бы́/т/очн/ый.

Сбытчик;Сбы́/т/чик/.

Сбытый;Сбы́/т/ый.

Сбыть;Сбы/ть, сбу́д/у.

Сбыться;С/бы́/ть/ся, с/бу́д/ет/ся.

Свадебка;Сва́д/еб/к/а.

Свадебный;Сва́д/еб/н/ый.

Свадьба;Сва́дь/б/а.

Сваебоец;Сва/е/бо́/ец/.

Сваебойщик;Сва/е/бо́й/щик/.

Сваечка;Сва́еч/к/а.

Сваечный;Сва́еч/н/ый.

Свайка 1;Сва́йк/а¹ (игра).

Свайка 2;Сва́й/к/а² (от сва́/я).

Свайный;Сва́й/н/ый.

Свал;С/вал/.

Сваленный;С/ва́л/енн/ый (от с/вал/и́/ть).

Сваливаться 3;С/ва́л/ива/ть/ся³ (от с/вал/я́/ть/ся).

Свалка;С/ва́л/к/а.

Свалочный;С/ва́л/оч/н/ый.

Свальный;С/ва́ль/н/ый.

Свалянный;С/ва́л/я/нн/ый (от с/вал/я́/ть).

Сван;Сван/.

